,,,Menores de 25,   Agricultura,   Industria,   Construcción,   Servicios,   No clasificable (1),Mayor de 25,   Agricultura,   Industria,   Construcción,   Servicios,   No clasificable (1)
,,hombre,,1.49,2.95,6.62,33.4,9.19,,14.44,48.8,98.71,330.05,39.45
,,mujer,,0.75,0.76,0.14,35.57,8.1,,8.25,7.63,5.79,334.94,43.2
,Mayo,,,,,,,,,,,,,
,,hombre,,1.49,2.95,6.62,33.4,9.19,,14.44,48.8,98.71,330.05,39.45
,,mujer,,0.75,0.76,0.14,35.57,8.1,,8.25,7.63,5.79,334.94,43.2
,Junio,,,,,,,,,,,,,
,,hombre,,1.49,2.95,6.62,33.4,9.19,,14.44,48.8,98.71,330.05,39.45
,,mujer,,0.75,0.76,0.14,35.57,8.1,,8.25,7.63,5.79,334.94,43.2
,Enero,,,,,,,,,,,,,
,,hombre,,1.89,3.97,7.59,31.93,9.2,,13.66,44.9,111.96,329.12,33.09
,,mujer,,0.73,0,0.55,35.54,9.64,,9.37,7.02,7.95,338.74,46.27
,Febrero,,,,,,,,,,,,,
,,hombre,,1.89,3.97,7.59,31.93,9.2,,13.66,44.9,111.96,329.12,33.09
,,mujer,,0.73,0,0.55,35.54,9.64,,9.37,7.02,7.95,338.74,46.27
,Marzo,,,,,,,,,,,,,
,,hombre,,1.89,3.97,7.59,31.93,9.2,,13.66,44.9,111.96,329.12,33.09
,,mujer,,0.73,0,0.55,35.54,9.64,,9.37,7.02,7.95,338.74,46.27
,,,,,,,,,,,,,,
